,rewardSum,profit,guessedRightCnt,guessedWrongCnt,skipCnt,guessCnt
21491,0.0,15.0,2.0,2.0,2.0,16.0
21492,1.0,6.0,1.0,0.0,1.0,20.0
21493,2.0,-9.0,2.0,0.0,0.0,6.0
21494,4.0,260.0,4.0,0.0,1.0,43.0
21495,0.0,34.0,0.0,0.0,1.0,18.0
21496,2.0,-42.0,2.0,0.0,4.0,26.0
21497,4.0,93.0,4.0,0.0,1.0,71.0
21498,2.0,0.0,2.0,0.0,2.0,4.0
21499,-1.0,0.0,0.0,1.0,0.0,3.0
21500,1.0,0.0,1.0,0.0,1.0,8.0
21501,1.0,0.0,1.0,0.0,1.0,5.0
21502,5.0,-54.0,5.0,0.0,0.0,62.0
21503,2.0,22.0,2.0,0.0,0.0,60.0
21504,3.0,-32.0,3.0,0.0,0.0,11.0
21505,5.0,66.0,5.0,0.0,3.0,38.0
21506,-1.0,0.0,0.0,1.0,0.0,1.0
21507,3.0,-12.0,3.0,0.0,3.0,9.0
21508,0.0,18.0,0.0,0.0,1.0,12.0
21509,2.0,-18.0,2.0,0.0,0.0,14.0
21510,0.0,0.0,1.0,1.0,0.0,2.0
21511,0.0,6.0,1.0,1.0,1.0,9.0
