,rewardSum,profit,guessedRightCnt,guessedWrongCnt,skipCnt,guessCnt
284,-1.0,7.0,0.0,1.0,1.0,73.0
285,0.0,59.0,0.0,0.0,7.0,34.0
286,0.0,-24.0,0.0,0.0,1.0,15.0
287,0.0,-5.0,0.0,0.0,4.0,22.0
288,0.0,0.0,0.0,0.0,1.0,2.0
289,0.0,33.0,0.0,0.0,0.0,71.0
290,0.0,-20.0,0.0,0.0,3.0,77.0
291,-1.0,0.0,0.0,1.0,1.0,9.0
292,0.0,-16.0,0.0,0.0,1.0,47.0
293,0.0,-13.0,0.0,0.0,3.0,77.0
294,0.0,26.0,0.0,0.0,2.0,24.0
295,0.0,26.0,0.0,0.0,2.0,80.0
296,0.0,-23.0,0.0,0.0,1.0,7.0
297,0.0,61.0,0.0,0.0,7.0,29.0
298,0.0,-30.0,0.0,0.0,3.0,46.0
299,0.0,18.0,0.0,0.0,2.0,60.0
300,0.0,0.0,0.0,0.0,1.0,1.0
301,0.0,0.0,0.0,0.0,1.0,4.0
302,0.0,0.0,0.0,0.0,2.0,47.0
303,0.0,32.0,0.0,0.0,5.0,23.0
304,0.0,-36.0,0.0,0.0,3.0,65.0
305,0.0,-23.0,0.0,0.0,3.0,57.0
306,0.0,-30.0,0.0,0.0,1.0,14.0
307,0.0,17.0,0.0,0.0,0.0,72.0
308,0.0,41.0,0.0,0.0,1.0,17.0
309,0.0,-18.0,0.0,0.0,2.0,30.0
310,0.0,-3.0,0.0,0.0,2.0,75.0
311,0.0,0.0,0.0,0.0,1.0,1.0
312,0.0,42.0,0.0,0.0,2.0,15.0
313,0.0,-13.0,0.0,0.0,2.0,79.0
314,0.0,23.0,0.0,0.0,0.0,80.0
315,0.0,16.0,0.0,0.0,3.0,77.0
316,0.0,-17.0,0.0,0.0,2.0,72.0
317,0.0,-2.0,0.0,0.0,2.0,78.0
318,0.0,-8.0,0.0,0.0,2.0,72.0
319,0.0,-17.0,0.0,0.0,3.0,75.0
320,2.0,41.0,2.0,0.0,1.0,11.0
321,1.0,44186.0,1.0,0.0,1.0,36.0
322,1.0,140844.0,1.0,0.0,0.0,75.0
323,0.0,1056752.0,0.0,0.0,0.0,73.0
324,0.0,0.0,0.0,0.0,1.0,6.0
325,0.0,0.0,0.0,0.0,0.0,1.0
326,1.0,598297.0,1.0,0.0,1.0,78.0
327,2.0,595222.0,2.0,0.0,0.0,77.0
328,-1.0,-17.0,0.0,1.0,0.0,4.0
329,-2.0,435935.0,0.0,2.0,0.0,77.0
330,-1.0,-17.0,0.0,1.0,0.0,7.0
331,-1.0,340308.0,0.0,1.0,0.0,45.0
332,1.0,159.0,1.0,0.0,0.0,19.0
333,-1.0,-1285.0,0.0,1.0,0.0,23.0
334,-1.0,-219.0,0.0,1.0,0.0,21.0
335,0.0,98557.0,1.0,1.0,0.0,73.0
336,2.0,290339.0,3.0,1.0,0.0,54.0
337,2.0,462628.0,2.0,0.0,0.0,71.0
338,0.0,416849.0,1.0,1.0,0.0,73.0
339,0.0,45826.0,1.0,1.0,0.0,35.0
340,0.0,376782.0,2.0,2.0,0.0,73.0
341,1.0,477485.0,2.0,1.0,0.0,80.0
342,1.0,0.0,1.0,0.0,1.0,9.0
343,0.0,0.0,0.0,0.0,1.0,2.0
344,0.0,0.0,0.0,0.0,0.0,1.0
345,0.0,20.0,0.0,0.0,2.0,78.0
346,0.0,27.0,0.0,0.0,4.0,79.0
347,0.0,-4.0,0.0,0.0,4.0,79.0
348,0.0,-26.0,0.0,0.0,2.0,33.0
349,0.0,-24.0,0.0,0.0,1.0,8.0
350,0.0,-15.0,0.0,0.0,3.0,76.0
351,0.0,48.0,0.0,0.0,1.0,75.0
352,0.0,-25.0,0.0,0.0,1.0,14.0
353,0.0,-25.0,0.0,0.0,2.0,14.0
354,0.0,0.0,0.0,0.0,1.0,5.0
355,0.0,26.0,0.0,0.0,2.0,66.0
356,0.0,61.0,0.0,0.0,4.0,35.0
